JourSemaine;JourFerie;Posan;Temperature;CONSOMMATION
5;1;0.00136619798485797;7.5;54333
6;0;0.00409859395457392;9.5;58954
0;0;0.00683098992428986;7.9;60198
1;0;0.00956338589400581;9;70083
2;0;0.0122957818637218;8.4;72454
3;0;0.0150281778334377;8.1;73502
4;0;0.0177605738031536;10.2;73372
5;0;0.0204929697728696;8.5;72485
6;0;0.0232253657425855;10;63380
0;0;0.0259577617123015;8.4;62335
1;0;0.0286901576820174;9;72403
2;0;0.0314225536517334;8.2;74290
3;0;0.0341549496214493;6.6;76878
4;0;0.0368873455911653;5.8;77958
5;0;0.0396197415608812;4.6;79975
6;0;0.0423521375305971;4.2;74137
0;0;0.0450845335003131;4;71512
1;0;0.047816929470029;1.5;85454
2;0;0.050549325439745;2.8;85323
3;0;0.0532817214094609;2.6;84924
4;0;0.0560141173791769;2.6;84733
5;0;0.0587465133488928;5;84056
6;0;0.0614789093186088;8.3;69359
0;0;0.0642113052883247;8.9;64325
1;0;0.0669437012580406;11;72125
2;0;0.0696760972277566;10.8;71772
3;0;0.0724084931974725;10.9;72151
4;0;0.0751408891671885;10.1;71215
5;0;0.0778732851369044;9.5;72583
6;0;0.0806056811066204;9.4;65677
0;0;0.0833380770763363;11.2;60868
1;0;0.0860704730460523;12.8;67690
2;0;0.0888028690157682;11.5;68227
3;0;0.0915352649854841;8.3;71281
4;0;0.0942676609552001;8.3;75604
5;0;0.097000056924916;10.7;70258
6;0;0.099732452894632;11.7;62497
0;0;0.102464848864348;8.5;60574
1;0;0.105197244834064;10.8;70764
2;0;0.10792964080378;10.8;72566
3;0;0.110662036773496;6.9;75536
4;0;0.113394432743212;6.6;75314
5;0;0.116126828712928;6.5;77786
6;0;0.118859224682644;9;67630
0;0;0.12159162065236;8.2;62297
1;0;0.124324016622075;5.6;77174
2;0;0.127056412591791;4.8;78847
3;0;0.129788808561507;3.8;81214
4;0;0.132521204531223;4.9;81136
5;0;0.135253600500939;7.2;76962
6;0;0.137985996470655;10.1;68026
0;0;0.140718392440371;12.6;58942
1;0;0.143450788410087;11;70033
2;0;0.146183184379803;9.1;70904
3;0;0.148915580349519;8.1;72741
4;0;0.151647976319235;7.3;72768
5;0;0.154380372288951;6.7;73713
6;0;0.157112768258667;6.2;69072
0;0;0.159845164228383;6.1;66158
1;0;0.162577560198099;5.9;77624
2;0;0.165309956167815;7.3;76720
3;0;0.168042352137531;9.7;72512
4;0;0.170774748107247;7.7;75588
5;0;0.173507144076962;8.1;74037
6;0;0.176239540046678;6.3;66945
0;0;0.178971936016394;6.6;64252
1;0;0.18170433198611;6.1;74961
2;0;0.184436727955826;6.5;76098
3;0;0.187169123925542;6.9;76019
4;0;0.189901519895258;8.4;73864
5;0;0.192633915864974;9.1;71967
6;0;0.19536631183469;9.3;63053
0;0;0.198098707804406;8.7;60350
1;0;0.200831103774122;9.1;69110
2;0;0.203563499743838;10.2;68372
3;0;0.206295895713554;6.7;72743
4;0;0.20902829168327;8.9;70828
5;0;0.211760687652986;9.9;68944
6;0;0.214493083622702;9.1;62755
0;0;0.217225479592418;8.6;59673
1;0;0.219957875562134;10.6;66922
2;0;0.22269027153185;11.2;66100
3;0;0.225422667501565;10.7;67626
4;0;0.228155063471281;10.9;66455
5;0;0.230887459440997;10.9;67156
6;0;0.233619855410713;13.7;56832
0;1;0.236352251380429;10.2;55296
1;1;0.239084647350145;11.8;56745
2;0;0.241817043319861;11.9;65706
3;0;0.244549439289577;12.5;65198
4;0;0.247281835259293;10.7;65585
5;0;0.250014231229009;8.9;67665
6;0;0.252746627198725;10.4;60178
0;0;0.255479023168441;15.8;51501
1;0;0.258211419138157;13.6;61577
2;0;0.260943815107873;12.8;62399
3;0;0.263676211077589;13;62087
4;0;0.266408607047305;10.9;63631
5;0;0.269141003017021;10.4;64544
6;0;0.271873398986737;10.6;57463
0;0;0.274605794956452;13.1;52528
1;0;0.277338190926168;13.8;60697
2;0;0.280070586895884;14.6;60025
3;0;0.2828029828656;14.5;60310
4;0;0.285535378835316;14.3;59657
5;0;0.288267774805032;14.6;58709
6;0;0.291000170774748;14;51563
0;0;0.293732566744464;10.8;50345
1;0;0.29646496271418;11.4;61379
2;0;0.299197358683896;13.7;60122
3;0;0.301929754653612;15.3;58456
4;0;0.304662150623328;16.7;57820
5;0;0.307394546593044;14.9;57341
6;0;0.31012694256276;11.4;52623
0;0;0.312859338532476;9.5;52436
1;0;0.315591734502192;9.7;64296
2;0;0.318324130471908;9.7;64471
3;0;0.321056526441624;9.8;65271
4;0;0.323788922411339;10.6;63577
5;0;0.326521318381055;12.3;62186
6;0;0.329253714350771;10.3;56207
0;1;0.331986110320487;10.8;52129
1;0;0.334718506290203;14.5;59593
2;0;0.337450902259919;14.1;58736
3;0;0.340183298229635;15.9;56916
4;1;0.342915694199351;18.3;46348
5;0;0.345648090169067;19.5;48897
6;0;0.348380486138783;19.5;45011
0;1;0.351112882108499;20.1;41948
1;0;0.353845278078215;18.2;53718
2;0;0.356577674047931;17.5;54800
3;0;0.359310070017647;15.8;55530
4;0;0.362042465987363;15.8;55592
5;0;0.364774861957079;15.3;55790
6;0;0.367507257926795;13.5;48741
